,Form,Topic Category,Rank,Type,Polarity
9584,elevator,concept,1,Top>Location>Facility,N
9593,construcción,concept,1,Top>Location>Facility,N
9595,floor,concept,3,Top>Location,N
9596,farm,concept,4,Top>Location>Facility,N
9605,AC,entity,2,Top,N
9606,elevator,concept,1,Top>Location>Facility,N
9610,group,concept,5,Top>Organization,N
9611,passenger,concept,6,Top>Person,N
9612,outlet,concept,7,Top,N
9622,elevator,concept,1,Top>Location>Facility,N
9631,construcción,concept,1,Top>Location>Facility,N
9633,floor,concept,3,Top>Location,N
9634,farm,concept,4,Top>Location>Facility,N
9643,AC,entity,2,Top,N
9644,elevator,concept,1,Top>Location>Facility,N
9648,group,concept,5,Top>Organization,N
9649,passenger,concept,6,Top>Person,N
9650,outlet,concept,7,Top,N
9660,elevator,concept,1,Top>Location>Facility,N
9669,construcción,concept,1,Top>Location>Facility,N
9671,floor,concept,3,Top>Location,N
9672,farm,concept,4,Top>Location>Facility,N
9681,AC,entity,2,Top,N
9682,elevator,concept,1,Top>Location>Facility,N
9686,group,concept,5,Top>Organization,N
9687,passenger,concept,6,Top>Person,N
9688,outlet,concept,7,Top,N
9698,elevator,concept,1,Top>Location>Facility,N
9707,construcción,concept,1,Top>Location>Facility,N
9709,floor,concept,3,Top>Location,N
9710,farm,concept,4,Top>Location>Facility,N
9719,AC,entity,2,Top,N
9720,elevator,concept,1,Top>Location>Facility,N
9724,group,concept,5,Top>Organization,N
9725,passenger,concept,6,Top>Person,N
9726,outlet,concept,7,Top,N
9736,elevator,concept,1,Top>Location>Facility,N
9745,construcción,concept,1,Top>Location>Facility,N
9747,floor,concept,3,Top>Location,N
9748,farm,concept,4,Top>Location>Facility,N
9757,AC,entity,2,Top,N
9758,elevator,concept,1,Top>Location>Facility,N
9762,group,concept,5,Top>Organization,N
9763,passenger,concept,6,Top>Person,N
9764,outlet,concept,7,Top,N
9774,elevator,concept,1,Top>Location>Facility,N
9783,construcción,concept,1,Top>Location>Facility,N
9785,floor,concept,3,Top>Location,N
9786,farm,concept,4,Top>Location>Facility,N
9795,AC,entity,2,Top,N
9796,elevator,concept,1,Top>Location>Facility,N
9800,group,concept,5,Top>Organization,N
9801,passenger,concept,6,Top>Person,N
9802,outlet,concept,7,Top,N
9812,elevator,concept,1,Top>Location>Facility,N
9821,construcción,concept,1,Top>Location>Facility,N
9823,floor,concept,3,Top>Location,N
9824,farm,concept,4,Top>Location>Facility,N
9833,AC,entity,2,Top,N
9834,elevator,concept,1,Top>Location>Facility,N
9838,group,concept,5,Top>Organization,N
9839,passenger,concept,6,Top>Person,N
9840,outlet,concept,7,Top,N
9850,elevator,concept,1,Top>Location>Facility,N
9859,construcción,concept,1,Top>Location>Facility,N
9861,floor,concept,3,Top>Location,N
9862,farm,concept,4,Top>Location>Facility,N
9871,AC,entity,2,Top,N
9872,elevator,concept,1,Top>Location>Facility,N
9876,group,concept,5,Top>Organization,N
9877,passenger,concept,6,Top>Person,N
9878,outlet,concept,7,Top,N
9888,elevator,concept,1,Top>Location>Facility,N
9897,construcción,concept,1,Top>Location>Facility,N
9899,floor,concept,3,Top>Location,N
9900,farm,concept,4,Top>Location>Facility,N
9909,AC,entity,2,Top,N
9910,elevator,concept,1,Top>Location>Facility,N
9914,group,concept,5,Top>Organization,N
9915,passenger,concept,6,Top>Person,N
9916,outlet,concept,7,Top,N
9926,elevator,concept,1,Top>Location>Facility,N
9935,construcción,concept,1,Top>Location>Facility,N
9937,floor,concept,3,Top>Location,N
9938,farm,concept,4,Top>Location>Facility,N
9947,AC,entity,2,Top,N
9948,elevator,concept,1,Top>Location>Facility,N
9952,group,concept,5,Top>Organization,N
9953,passenger,concept,6,Top>Person,N
9954,outlet,concept,7,Top,N
9964,elevator,concept,1,Top>Location>Facility,N
9973,construcción,concept,1,Top>Location>Facility,N
9975,floor,concept,3,Top>Location,N
9976,farm,concept,4,Top>Location>Facility,N
9986,feature,concept,2,Top>OtherEntity,N
9989,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10031,feature,concept,2,Top>OtherEntity,N
10034,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10076,feature,concept,2,Top>OtherEntity,N
10079,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10121,feature,concept,2,Top>OtherEntity,N
10124,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10166,feature,concept,2,Top>OtherEntity,N
10169,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10211,feature,concept,2,Top>OtherEntity,N
10214,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10256,feature,concept,2,Top>OtherEntity,N
10259,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10301,feature,concept,2,Top>OtherEntity,N
10304,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10346,feature,concept,2,Top>OtherEntity,N
10349,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10391,feature,concept,2,Top>OtherEntity,N
10394,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10436,feature,concept,2,Top>OtherEntity,N
10439,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10481,feature,concept,2,Top>OtherEntity,N
10484,report,concept,5,Top>Product>CulturalProduct>Broadcast,N
10671,road,concept,8,Top>Location>Facility>Line,N
10676,road,concept,13,Top>Location>Facility>Line,N
11095,toilet,concept,4,Top>Location>Facility,N
11097,condition,concept,6,Top,N
11181,toilet,concept,4,Top>Location>Facility,N
11183,condition,concept,6,Top,N
11267,toilet,concept,4,Top>Location>Facility,N
11269,condition,concept,6,Top,N
11353,toilet,concept,4,Top>Location>Facility,N
11355,condition,concept,6,Top,N
11436,arrival,concept,5,Top>Event,N
11452,stairs,concept,21,Top>Product,N
11504,arrival,concept,5,Top>Event,N
11520,stairs,concept,21,Top>Product,N
11572,arrival,concept,5,Top>Event,N
11588,stairs,concept,21,Top>Product,N
11640,arrival,concept,5,Top>Event,N
11656,stairs,concept,21,Top>Product,N
11708,arrival,concept,5,Top>Event,N
11724,stairs,concept,21,Top>Product,N
11776,arrival,concept,5,Top>Event,N
11792,stairs,concept,21,Top>Product,N
11844,arrival,concept,5,Top>Event,N
11860,stairs,concept,21,Top>Product,N
11912,arrival,concept,5,Top>Event,N
11928,stairs,concept,21,Top>Product,N
11980,arrival,concept,5,Top>Event,N
11996,stairs,concept,21,Top>Product,N
12048,arrival,concept,5,Top>Event,N
12064,stairs,concept,21,Top>Product,N
12116,arrival,concept,5,Top>Event,N
12132,stairs,concept,21,Top>Product,N
12184,arrival,concept,5,Top>Event,N
12200,stairs,concept,21,Top>Product,N
12252,arrival,concept,5,Top>Event,N
12268,stairs,concept,21,Top>Product,N
12320,arrival,concept,5,Top>Event,N
12336,stairs,concept,21,Top>Product,N
12388,arrival,concept,5,Top>Event,N
12404,stairs,concept,21,Top>Product,N
12456,arrival,concept,5,Top>Event,N
12472,stairs,concept,21,Top>Product,N
12524,arrival,concept,5,Top>Event,N
12540,stairs,concept,21,Top>Product,N
12592,arrival,concept,5,Top>Event,N
12608,stairs,concept,21,Top>Product,N
12660,arrival,concept,5,Top>Event,N
12676,stairs,concept,21,Top>Product,N
12728,arrival,concept,5,Top>Event,N
12744,stairs,concept,21,Top>Product,N
12796,arrival,concept,5,Top>Event,N
12812,stairs,concept,21,Top>Product,N
12864,arrival,concept,5,Top>Event,N
12880,stairs,concept,21,Top>Product,N
12932,arrival,concept,5,Top>Event,N
12948,stairs,concept,21,Top>Product,N
13000,arrival,concept,5,Top>Event,N
13016,stairs,concept,21,Top>Product,N
13068,arrival,concept,5,Top>Event,N
13084,stairs,concept,21,Top>Product,N
13136,arrival,concept,5,Top>Event,N
13152,stairs,concept,21,Top>Product,N
13204,arrival,concept,5,Top>Event,N
13220,stairs,concept,21,Top>Product,N
13272,arrival,concept,5,Top>Event,N
13288,stairs,concept,21,Top>Product,N
13340,arrival,concept,5,Top>Event,N
13356,stairs,concept,21,Top>Product,N
13366,interior,concept,6,Top>Location,N
13446,RC,entity,2,Top,N
13452,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
13454,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
13458,town,concept,8,Top>Location>GeoPoliticalEntity,N
13492,interior,concept,6,Top>Location,N
13572,RC,entity,2,Top,N
13578,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
13580,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
13584,town,concept,8,Top>Location>GeoPoliticalEntity,N
13618,interior,concept,6,Top>Location,N
13698,RC,entity,2,Top,N
13704,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
13706,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
13710,town,concept,8,Top>Location>GeoPoliticalEntity,N
13744,interior,concept,6,Top>Location,N
13824,RC,entity,2,Top,N
13830,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
13832,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
13836,town,concept,8,Top>Location>GeoPoliticalEntity,N
13870,interior,concept,6,Top>Location,N
13950,RC,entity,2,Top,N
13956,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
13958,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
13962,town,concept,8,Top>Location>GeoPoliticalEntity,N
13996,interior,concept,6,Top>Location,N
14076,RC,entity,2,Top,N
14082,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
14084,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
14088,town,concept,8,Top>Location>GeoPoliticalEntity,N
14122,interior,concept,6,Top>Location,N
14202,RC,entity,2,Top,N
14208,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
14210,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
14214,town,concept,8,Top>Location>GeoPoliticalEntity,N
14248,interior,concept,6,Top>Location,N
14328,RC,entity,2,Top,N
14334,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
14336,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
14340,town,concept,8,Top>Location>GeoPoliticalEntity,N
14374,interior,concept,6,Top>Location,N
14454,RC,entity,2,Top,N
14460,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
14462,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
14466,town,concept,8,Top>Location>GeoPoliticalEntity,N
14500,interior,concept,6,Top>Location,N
14580,RC,entity,2,Top,N
14586,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
14588,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
14592,town,concept,8,Top>Location>GeoPoliticalEntity,N
14626,interior,concept,6,Top>Location,N
14706,RC,entity,2,Top,N
14712,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
14714,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
14718,town,concept,8,Top>Location>GeoPoliticalEntity,N
14752,interior,concept,6,Top>Location,N
14832,RC,entity,2,Top,N
14838,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
14840,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
14844,town,concept,8,Top>Location>GeoPoliticalEntity,N
14878,interior,concept,6,Top>Location,N
14958,RC,entity,2,Top,N
14964,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
14966,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
14970,town,concept,8,Top>Location>GeoPoliticalEntity,N
15004,interior,concept,6,Top>Location,N
15084,RC,entity,2,Top,N
15090,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
15092,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
15096,town,concept,8,Top>Location>GeoPoliticalEntity,N
15130,interior,concept,6,Top>Location,N
15210,RC,entity,2,Top,N
15216,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
15218,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
15222,town,concept,8,Top>Location>GeoPoliticalEntity,N
15256,interior,concept,6,Top>Location,N
15336,RC,entity,2,Top,N
15342,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
15344,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
15348,town,concept,8,Top>Location>GeoPoliticalEntity,N
15382,interior,concept,6,Top>Location,N
15462,RC,entity,2,Top,N
15468,village,concept,2,Top>Location>GeoPoliticalEntity>City,N
15470,town,concept,4,Top>Location>GeoPoliticalEntity>City,N
15474,town,concept,8,Top>Location>GeoPoliticalEntity,N
15518,room,concept,7,Top>Location>Facility,N
15521,room,concept,10,Top>Location>Facility,N
15529,interior,concept,7,Top>Location,N
15555,room,concept,7,Top>Location>Facility,N
15558,room,concept,10,Top>Location>Facility,N
15566,interior,concept,7,Top>Location,N
15592,room,concept,7,Top>Location>Facility,N
15595,room,concept,10,Top>Location>Facility,N
15603,interior,concept,7,Top>Location,N
15629,room,concept,7,Top>Location>Facility,N
15632,room,concept,10,Top>Location>Facility,N
15640,interior,concept,7,Top>Location,N
15710,buffet,concept,3,Top,N
15716,meal,concept,9,Top>Product>Food,N
15761,garlic,concept,6,Top>LivingThing>Flora,N
15762,pickle,concept,7,Top>Product>Food>FruitOrVegetable,N
15764,rice,concept,9,Top>Product>Food>FruitOrVegetable,N
15766,rice,concept,11,Top>LivingThing>Flora,N
15814,garlic,concept,6,Top>LivingThing>Flora,N
15815,pickle,concept,7,Top>Product>Food>FruitOrVegetable,N
15817,rice,concept,9,Top>Product>Food>FruitOrVegetable,N
15819,rice,concept,11,Top>LivingThing>Flora,N
15867,garlic,concept,6,Top>LivingThing>Flora,N
15868,pickle,concept,7,Top>Product>Food>FruitOrVegetable,N
15870,rice,concept,9,Top>Product>Food>FruitOrVegetable,N
15872,rice,concept,11,Top>LivingThing>Flora,N
15920,garlic,concept,6,Top>LivingThing>Flora,N
15921,pickle,concept,7,Top>Product>Food>FruitOrVegetable,N
15923,rice,concept,9,Top>Product>Food>FruitOrVegetable,N
15925,rice,concept,11,Top>LivingThing>Flora,N
15958,chance,concept,2,Top>OtherEntity,N
15990,chance,concept,2,Top>OtherEntity,N
16022,chance,concept,2,Top>OtherEntity,N
16054,chance,concept,2,Top>OtherEntity,N
16086,chance,concept,2,Top>OtherEntity,N
16118,chance,concept,2,Top>OtherEntity,N
16150,chance,concept,2,Top>OtherEntity,N
16182,chance,concept,2,Top>OtherEntity,N
16214,chance,concept,2,Top>OtherEntity,N
16246,chance,concept,2,Top>OtherEntity,N
16278,chance,concept,2,Top>OtherEntity,N
16310,chance,concept,2,Top>OtherEntity,N
16342,chance,concept,2,Top>OtherEntity,N
16374,chance,concept,2,Top>OtherEntity,N
16406,chance,concept,2,Top>OtherEntity,N
16438,chance,concept,2,Top>OtherEntity,N
16470,chance,concept,2,Top>OtherEntity,N
16502,chance,concept,2,Top>OtherEntity,N
16534,chance,concept,2,Top>OtherEntity,N
16566,chance,concept,2,Top>OtherEntity,N
16598,chance,concept,2,Top>OtherEntity,N
16630,chance,concept,2,Top>OtherEntity,N
16662,chance,concept,2,Top>OtherEntity,N
16694,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
16714,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
16718,breakfast,concept,11,Top>Event,N
16719,breakfast,concept,12,Top>Product>Food,N
16733,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
16753,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
16757,breakfast,concept,11,Top>Event,N
16758,breakfast,concept,12,Top>Product>Food,N
16772,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
16792,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
16796,breakfast,concept,11,Top>Event,N
16797,breakfast,concept,12,Top>Product>Food,N
16811,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
16831,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
16835,breakfast,concept,11,Top>Event,N
16836,breakfast,concept,12,Top>Product>Food,N
16850,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
16870,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
16874,breakfast,concept,11,Top>Event,N
16875,breakfast,concept,12,Top>Product>Food,N
16889,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
16909,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
16913,breakfast,concept,11,Top>Event,N
16914,breakfast,concept,12,Top>Product>Food,N
16928,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
16948,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
16952,breakfast,concept,11,Top>Event,N
16953,breakfast,concept,12,Top>Product>Food,N
16967,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
16987,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
16991,breakfast,concept,11,Top>Event,N
16992,breakfast,concept,12,Top>Product>Food,N
17006,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
17026,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
17030,breakfast,concept,11,Top>Event,N
17031,breakfast,concept,12,Top>Product>Food,N
17045,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
17065,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
17069,breakfast,concept,11,Top>Event,N
17070,breakfast,concept,12,Top>Product>Food,N
17084,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
17104,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
17108,breakfast,concept,11,Top>Event,N
17109,breakfast,concept,12,Top>Product>Food,N
17122,car,concept,1,Top>Product>Machine>Vehicle>Car,N
17143,brake,concept,2,Top>Product>Machine>Instrument,N
17163,room,concept,12,Top>Location>Facility,N
17172,room,concept,21,Top>Location>Facility,N
17187,buffet,concept,11,Top,N
17210,doctor,concept,5,Top>OtherEntity>Vocation,N
17212,fever,concept,7,Top>OtherEntity>Disease,N
17220,doctor,concept,15,Top>OtherEntity>Title,N
17225,mother,concept,20,Top>Person,N
17230,car,concept,1,Top>Product>Machine>Vehicle>Car,N
17249,brake,concept,2,Top>Product>Machine>Instrument,N
17269,room,concept,12,Top>Location>Facility,N
17278,room,concept,21,Top>Location>Facility,N
17293,buffet,concept,11,Top,N
17316,doctor,concept,5,Top>OtherEntity>Vocation,N
17318,fever,concept,7,Top>OtherEntity>Disease,N
17326,doctor,concept,15,Top>OtherEntity>Title,N
17331,mother,concept,20,Top>Person,N
17336,car,concept,1,Top>Product>Machine>Vehicle>Car,N
17357,brake,concept,2,Top>Product>Machine>Instrument,N
17377,room,concept,12,Top>Location>Facility,N
17386,room,concept,21,Top>Location>Facility,N
17401,buffet,concept,11,Top,N
17424,doctor,concept,5,Top>OtherEntity>Vocation,N
17426,fever,concept,7,Top>OtherEntity>Disease,N
17434,doctor,concept,15,Top>OtherEntity>Title,N
17439,mother,concept,20,Top>Person,N
17444,car,concept,1,Top>Product>Machine>Vehicle>Car,N
17465,brake,concept,2,Top>Product>Machine>Instrument,N
17485,room,concept,12,Top>Location>Facility,N
17494,room,concept,21,Top>Location>Facility,N
17509,buffet,concept,11,Top,N
17532,doctor,concept,5,Top>OtherEntity>Vocation,N
17534,fever,concept,7,Top>OtherEntity>Disease,N
17542,doctor,concept,15,Top>OtherEntity>Title,N
17547,mother,concept,20,Top>Person,N
17552,car,concept,1,Top>Product>Machine>Vehicle>Car,N
17573,brake,concept,2,Top>Product>Machine>Instrument,N
17593,room,concept,12,Top>Location>Facility,N
17602,room,concept,21,Top>Location>Facility,N
17617,buffet,concept,11,Top,N
17640,doctor,concept,5,Top>OtherEntity>Vocation,N
17642,fever,concept,7,Top>OtherEntity>Disease,N
17650,doctor,concept,15,Top>OtherEntity>Title,N
17655,mother,concept,20,Top>Person,N
17890,food,concept,3,Top>Product>Food,N
17937,food,concept,3,Top>Product>Food,N
17984,food,concept,3,Top>Product>Food,N
18031,food,concept,3,Top>Product>Food,N
18078,space,concept,18,Top>Location,N
18085,space,concept,25,Top>Unit>SpaceUnit,N
18110,kitchen,concept,50,Top>Location>Facility,N
18116,sink,concept,56,Top>Product,N
18214,room,concept,18,Top>Location>Facility,N
18218,room,concept,22,Top>Location>Facility,N
18233,place,concept,5,Top>Location,N
18238,building,concept,10,Top>Location>Facility,N
18241,property,concept,13,Top,N
18275,room,concept,18,Top>Location>Facility,N
18279,room,concept,22,Top>Location>Facility,N
18294,place,concept,5,Top>Location,N
18299,building,concept,10,Top>Location>Facility,N
18302,property,concept,13,Top,N
